sample,gene,drug_class,gene_family,mechanism,all_mapped_reads,avg_pct_coverage
SRR12619561,tetB(P),tetracycline antibiotic,tetracycline-resistant ribosomal protection protein,antibiotic target protection,8.0,32.06
SRR12619561,lnuB,lincosamide antibiotic,lincosamide nucleotidyltransferase (LNU),antibiotic inactivation,50.0,100.0
SRR12619561,CfxA5,cephalosporin,CfxA beta-lactamase,antibiotic inactivation,2.0,27.74
SRR12619561,mdtB,aminocoumarin antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,2.0,2.24
SRR12619561,ErmC,macrolide antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,34.0,97.01
SRR12619561,ErmC,lincosamide antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,34.0,97.01
SRR12619561,ErmC,streptogramin antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,34.0,97.01
SRR12619561,ErmC,streptogramin A antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,34.0,97.01
SRR12619561,ErmC,streptogramin B antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,34.0,97.01
SRR12619561,smeE,macrolide antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,2.0,2.5
SRR12619561,smeE,fluoroquinolone antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,2.0,2.5
SRR12619561,smeE,tetracycline antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,2.0,2.5
SRR12619561,smeE,phenicol antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,2.0,2.5
SRR12619561,ANT(6)-Ia,aminoglycoside antibiotic,ANT(6),antibiotic inactivation,14.0,89.24
SRR12619561,sul2,sulfonamide antibiotic,sulfonamide resistant sul,antibiotic target replacement,10.0,79.04
SRR12619561,tet(40),tetracycline antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,antibiotic efflux,5.0,36.28
SRR12619561,ErmA,macrolide antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,8.0,49.32
SRR12619561,ErmA,lincosamide antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,8.0,49.32
SRR12619561,ErmA,streptogramin antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,8.0,49.32
SRR12619561,ErmA,streptogramin A antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,8.0,49.32
SRR12619561,ErmA,streptogramin B antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,8.0,49.32
SRR12619561,ugd,peptide antibiotic,pmr phosphoethanolamine transferase,antibiotic target alteration,2.0,6.08
SRR12619561,APH(2'')-IIIa,aminoglycoside antibiotic,APH(2''),antibiotic inactivation,4.0,26.06
